request_id,decision,reason_code,severity,created_at,client_id,account_id,amount,currency,destination_type,destination_id,requested_speed,channel,snapshot_account_status,snapshot_kyc_status,snapshot_aml_risk_tier,snapshot_available_cash,snapshot_settled_cash,snapshot_unsettled_cash,available_cash_after_request,settled_cash_after_request,dest_is_whitelisted,dest_days_since_change,dest_changed_recently_flag,urgent_risk_flag,duplicate_candidate_flag,duplicate_pair_request_id,mins_from_prev,mins_to_next,triggered_rules
W100105,REJECT,KYC_NOT_VERIFIED,100.0,2026-03-05 04:50:18.568126+00:00,C012,A0022,992.26,USD,bank,D00022,urgent,app,active,pending,medium,5371.56,3575.28,1796.28,4379.3,2583.0200000000004,True,171.41666666666666,False,True,False,,,,KYC_NOT_VERIFIED | URGENT_RISK_TIER
W100082,REJECT,KYC_NOT_VERIFIED,100.0,2026-03-05 08:00:06.870504+00:00,C030,A0012,4593.63,USD,bank,D00052,standard,app,active,pending,high,20932.9,18220.67,2712.23,16339.27,13627.039999999995,True,131.95833333333334,False,False,False,,,,KYC_NOT_VERIFIED
W100001,REJECT,KYC_NOT_VERIFIED,100.0,2026-03-05 11:04:06.474179+00:00,C024,A0016,3049.9,USD,bank,D00040,standard,ops,active,failed,high,8031.4,7208.27,823.13,4981.5,4158.370000000001,True,23.0,False,False,False,,,,KYC_NOT_VERIFIED
W100051,REJECT,KYC_NOT_VERIFIED,100.0,2026-03-05 23:48:43.603467+00:00,C030,A0012,18378.93,USD,bank,D00052,standard,app,active,pending,high,20932.9,18220.67,2712.23,2553.970000000001,-158.26000000000204,True,131.95833333333334,False,False,False,,,,KYC_NOT_VERIFIED | INSUFFICIENT_SETTLED_AFTER_BUFFER
W100087,REJECT,KYC_NOT_VERIFIED,100.0,2026-03-06 05:19:11.650987+00:00,C023,A0013,5836.91,USD,bank,D00039,standard,app,active,pending,low,15007.01,13205.94,1801.07,9170.1,7369.030000000001,True,2.1666666666666665,True,False,False,,,,KYC_NOT_VERIFIED | DEST_CHANGED_RECENTLY
W100050,REJECT,KYC_NOT_VERIFIED,100.0,2026-03-06 05:29:07.401619+00:00,C024,A0016,2844.67,USD,bank,D00040,standard,ops,active,failed,high,8031.4,7208.27,823.13,5186.73,4363.6,True,23.0,False,False,False,,,,KYC_NOT_VERIFIED
W100020,REJECT,KYC_NOT_VERIFIED,100.0,2026-03-06 06:15:36.687420+00:00,C030,A0012,5257.29,USD,bank,D00052,urgent,app,active,pending,high,20932.9,18220.67,2712.23,15675.61,12963.379999999996,True,131.95833333333334,False,True,False,,,,KYC_NOT_VERIFIED | URGENT_RISK_TIER
W100070,REJECT,ACCOUNT_NOT_ACTIVE,95.0,2026-03-05 05:18:27.354278+00:00,C003,A0001,16280.18,USD,bank,D00005,standard,app,frozen,verified,medium,16973.47,16085.89,887.58,693.2900000000009,-194.29000000000087,True,82.66666666666667,False,False,False,,,,ACCOUNT_NOT_ACTIVE | INSUFFICIENT_SETTLED_AFTER_BUFFER
W100067,REJECT,ACCOUNT_NOT_ACTIVE,95.0,2026-03-05 06:55:42.780600+00:00,C028,A0024,913.54,USD,crypto,D00048,urgent,app,frozen,verified,high,3654.75,2900.32,754.43,2741.21,1986.78,True,258.875,False,True,False,,,,ACCOUNT_NOT_ACTIVE | URGENT_RISK_TIER
W100017,REJECT,ACCOUNT_NOT_ACTIVE,95.0,2026-03-05 11:56:25.719473+00:00,C003,A0001,4785.33,USD,bank,D00005,standard,app,frozen,verified,medium,16973.47,16085.89,887.58,12188.14,11300.56,True,82.66666666666667,False,False,False,,,,ACCOUNT_NOT_ACTIVE
