request_id,created_at,client_id,account_id,amount,currency,destination_type,destination_id,requested_speed,channel,note
W100055,2026-03-06 01:00:13.581307+00:00,C007,A0032,2000.27,USD,crypto,D00012,standard,app,
W100040,2026-03-06 04:27:02.907998+00:00,C021,A0008,4048.65,USD,bank,D00037,standard,app,
W100019,2026-03-06 01:37:44.488632+00:00,C023,A0014,3352.79,USD,bank,D00039,standard,ops,
W100031,2026-03-05 15:24:11.787265+00:00,C013,A0027,26978.71,USD,bank,D00023,standard,ops,
W100098,2026-03-05 11:47:49.487155+00:00,C006,A0023,2861.14,USD,bank,D00011,standard,app,
W100056,2026-03-06 05:06:32.601379+00:00,C003,A0033,2707.1,USD,bank,D00005,standard,advisor,
W100069,2026-03-05 21:45:21.294399+00:00,C014,A0020,8906.77,USD,bank,D00024,standard,app,needs asap
W100104,2026-03-06 03:12:11.042107+00:00,C017,A0034,7788.04,USD,bank,D00029,standard,advisor,
W100081,2026-03-06 09:58:40.891828+00:00,C020,A0003,4398.52,USD,bank,D00036,urgent,advisor,
W100026,2026-03-06 08:31:21.341604+00:00,C016,A0021,1145.83,USD,bank,D00026,standard,app,
W100094,2026-03-06 10:40:16.728656+00:00,C017,A0034,13314.33,USD,bank,D00029,standard,ops,
W100027,2026-03-05 09:19:57.889573+00:00,C003,A0010,3721.95,USD,bank,D00005,standard,advisor,
W100064,2026-03-05 06:46:35.358174+00:00,C007,A0032,4482.85,USD,crypto,D00012,urgent,app,
W100004,2026-03-05 09:19:55.351331+00:00,C020,A0026,21878.31,USD,bank,D00036,standard,app,
W100096,2026-03-06 10:26:00.639893+00:00,C028,A0024,796.96,USD,crypto,D00048,standard,ops,
W100113,2026-03-06 01:10:11.213286+00:00,C014,A0004,489.45,USD,bank,D00024,standard,app,
W100036,2026-03-05 07:33:05.937393+00:00,C024,A0025,1000.41,USD,bank,D00040,urgent,app,
W100080,2026-03-06 08:29:39.296003+00:00,C013,A0005,66495.36,USD,bank,D00023,standard,app,
W100064_DUP,2026-03-05 06:53:35.358174+00:00,C007,A0032,4482.85,USD,crypto,D00012,urgent,app,
W100084,2026-03-06 01:53:05.420482+00:00,C014,A0031,3520.68,USD,bank,D00024,standard,app,
W100018,2026-03-06 13:25:54.077481+00:00,C003,A0010,1255.85,USD,bank,D00005,standard,app,
W100010,2026-03-05 09:28:21.519557+00:00,C017,A0034,11003.28,USD,bank,D00029,urgent,app,
W100118,2026-03-06 07:52:59.311403+00:00,C004,A0018,1546.7,USD,bank,D00006,standard,app,
W100011,2026-03-06 11:28:45.596742+00:00,C020,A0026,21420.67,USD,bank,D00036,standard,app,
W100105,2026-03-05 04:50:18.568126+00:00,C012,A0022,992.26,USD,bank,D00022,urgent,app,
W100045,2026-03-05 13:21:46.536378+00:00,C014,A0030,27013.79,USD,bank,D00024,urgent,advisor,needs asap
W100070,2026-03-05 05:18:27.354278+00:00,C003,A0001,16280.18,USD,bank,D00005,standard,app,needs asap
W100078,2026-03-06 07:23:23.752625+00:00,C003,A0001,6385.61,USD,bank,D00005,standard,app,
W100047,2026-03-06 13:01:45.706405+00:00,C013,A0027,91705.36,USD,bank,D00023,standard,app,needs asap
W100000,2026-03-05 23:10:47.508899+00:00,C027,A0035,4014.32,USD,bank,D00047,urgent,app,
W100012,2026-03-06 00:40:39.221968+00:00,C027,A0035,20942.37,USD,bank,D00047,urgent,advisor,needs asap
W100042,2026-03-06 12:33:57.296996+00:00,C014,A0030,7130.67,USD,bank,D00024,standard,app,
W100073_DUP,2026-03-05 17:55:45.791614+00:00,C024,A0025,3063.75,USD,bank,D00040,standard,app,
W100024,2026-03-06 11:43:18.594718+00:00,C017,A0029,7760.06,USD,bank,D00029,standard,app,
W100067,2026-03-05 06:55:42.780600+00:00,C028,A0024,913.54,USD,crypto,D00048,urgent,app,
W100111,2026-03-05 21:07:35.542810+00:00,C025,A0028,1692.91,USD,bank,D00043,standard,app,
W100089,2026-03-06 07:26:49.298436+00:00,C026,A0006,9484.75,USD,bank,D00046,urgent,app,
W100015,2026-03-06 11:49:22.055302+00:00,C017,A0029,3187.68,USD,bank,D00029,standard,advisor,
W100077,2026-03-06 11:15:00.649629+00:00,C028,A0024,1132.28,USD,crypto,D00048,standard,ops,
W100022,2026-03-05 11:53:47.864334+00:00,C026,A0019,11612.55,USD,bank,D00046,urgent,app,needs asap
W100044,2026-03-05 09:08:16.872327+00:00,C020,A0003,10244.98,USD,bank,D00036,standard,advisor,
W100065,2026-03-05 15:39:46.046435+00:00,C003,A0007,1260.99,USD,bank,D00005,standard,advisor,
W100095,2026-03-05 16:37:09.914247+00:00,C027,A0035,4768.42,USD,bank,D00047,standard,app,
W100030,2026-03-06 09:53:16.213096+00:00,C022,A0015,455.36,USD,bank,D00038,standard,app,
W100062,2026-03-06 14:45:42.425108+00:00,C014,A0004,4146.56,USD,bank,D00024,standard,app,
W100047_DUP,2026-03-06 13:11:45.706405+00:00,C013,A0027,91705.36,USD,bank,D00023,standard,app,needs asap
W100009,2026-03-05 19:30:21.185164+00:00,C006,A0023,12131.82,USD,bank,D00011,standard,app,
W100033,2026-03-06 00:44:00.705387+00:00,C016,A0021,293.04,USD,bank,D00026,standard,app,
W100066,2026-03-06 08:38:37.749842+00:00,C003,A0001,6044.91,USD,bank,D00005,standard,advisor,
W100025,2026-03-06 08:29:19.568876+00:00,C028,A0024,1268.89,USD,crypto,D00048,standard,app,
W100115,2026-03-05 17:51:57.071662+00:00,C016,A0021,790.59,USD,bank,D00026,urgent,app,
W100028,2026-03-06 00:32:00.466367+00:00,C025,A0028,2709.37,USD,bank,D00043,urgent,app,
W100097,2026-03-05 08:17:04.966865+00:00,C021,A0008,6683.68,USD,bank,D00037,standard,ops,
W100091,2026-03-05 05:31:04.565896+00:00,C025,A0028,2827.69,USD,bank,D00043,standard,app,
W100053,2026-03-05 09:12:26.311857+00:00,C027,A0035,3035.63,USD,bank,D00047,standard,advisor,
W100005,2026-03-06 08:47:08.050635+00:00,C025,A0028,6859.8,USD,bank,D00043,urgent,advisor,needs asap
W100068,2026-03-05 21:58:32.078416+00:00,C027,A0035,0.0,USD,bank,D00047,standard,advisor,needs asap
W100073,2026-03-05 17:49:45.791614+00:00,C024,A0025,3063.75,USD,bank,D00040,standard,app,
W100039,2026-03-05 15:18:45.198462+00:00,C023,A0014,1859.07,USD,bank,D00039,standard,advisor,
W100049,2026-03-05 21:23:39.565294+00:00,C024,A0002,819.32,USD,bank,D00040,urgent,app,
W100035,2026-03-05 03:52:25.233166+00:00,C014,A0020,3445.06,USD,bank,D00024,standard,advisor,
W100016,2026-03-05 20:45:01.461466+00:00,C004,A0018,2425.21,USD,bank,D00006,standard,app,
W100004_DUP,2026-03-05 09:30:55.351331+00:00,C020,A0026,21878.31,USD,bank,D00036,standard,app,
W100034,2026-03-05 07:28:19.148426+00:00,C003,A0010,4300.85,USD,bank,D00005,standard,app,
W100085,2026-03-06 12:49:16.749623+00:00,C013,A0005,136028.77,USD,bank,D00023,urgent,ops,needs asap
W100007,2026-03-05 07:58:59.970520+00:00,C004,A0018,673.76,USD,bank,D00006,standard,app,
W100043,2026-03-05 19:04:38.877917+00:00,C025,A0028,2699.82,USD,bank,D00043,urgent,app,
W100076,2026-03-06 07:08:07.785750+00:00,C003,A0010,1319.48,USD,bank,D00005,standard,app,
W100112,2026-03-06 05:22:13.584404+00:00,C026,A0006,15791.24,USD,bank,D00046,urgent,app,
W100108,2026-03-06 08:42:06.426961+00:00,C024,A0002,882.04,USD,bank,D00040,standard,app,
W100008,2026-03-05 09:19:55.700270+00:00,C017,A0034,13847.58,USD,bank,D00029,standard,app,
W100013,2026-03-05 12:23:12.650969+00:00,C003,A0010,2330.72,USD,bank,D00005,standard,app,
W100093,2026-03-06 12:23:31.713067+00:00,C024,A0025,3821.11,USD,bank,D00040,standard,app,
W100003,2026-03-05 15:26:57.039679+00:00,C017,A0029,3954.08,USD,bank,D00029,standard,app,
W100017,2026-03-05 11:56:25.719473+00:00,C003,A0001,4785.33,USD,bank,D00005,standard,app,
W100038,2026-03-06 06:53:43.563915+00:00,C017,A0029,5802.4,USD,bank,D00029,standard,app,
W100072,2026-03-06 07:05:47.823966+00:00,C014,A0020,8669.22,USD,bank,D00024,urgent,ops,needs asap
W100100,2026-03-05 19:58:01.319295+00:00,C003,A0010,2555.61,USD,bank,D00005,standard,advisor,
W100006,2026-03-06 09:32:32.201856+00:00,C016,A0011,10904.22,USD,bank,D00026,standard,app,
W100083,2026-03-06 03:19:47.208400+00:00,C017,A0029,2771.68,USD,bank,D00029,standard,ops,
W100110,2026-03-05 20:56:55.335199+00:00,C016,A0011,6282.8,USD,bank,D00026,standard,ops,
W100119,2026-03-06 11:06:08.825213+00:00,C003,A0033,1364.85,USD,bank,D00005,urgent,ops,
W100054,2026-03-05 18:42:29.571010+00:00,C024,A0002,6719.15,USD,bank,D00040,urgent,app,needs asap
W100050,2026-03-06 05:29:07.401619+00:00,C024,A0016,2844.67,USD,bank,D00040,standard,ops,
